node   1  (   0,    0) (   5,    3) (   6,    5) (   4,    3) (   2,    1) (   2,    1) (   2,    2) (   2,    2) (   2,    1) (   2,    1)
          (   2,    2) (   2,    3) (   2,    1) (   2,    1) (   2,    2) (   2,    1) (   2,    2) (   2,    3) (   2,    2) (   2,    1)
          (   2,    2) (   2,    3) (   2,    1) (   2,    1) (   2,    2) (   2,    3) (   2,    2) (   2,    1) (   2,    4) (   2,    1)
          (   2,    3) (   2,    3) (   2,    2) (   2,    4) (   2,    2) (   2,    2) (   2,    1) (   2,    1) (   2,    1) (   2,    2)
          (   2,    2) (   2,    2) (   2,    2) (   2,    1) (   2,    1) (   2,    2) (   2,    2) (   2,    1) (   2,    2) (   2,    1)
          (   2,    1) (   2,    2) (   2,    2) (   2,    1) (   2,    1) (   2,    1) (   2,    2) (   2,    2) (   1,    2) (   2,    4)
          (   2,    2) (   1,    2) (   0,    3) (   1,    2) (   2,    2) (   2,    2) (   1,    1) (   2,    2) (   1,    2) (   1,    2)
          (   2,    2) (   1,    1) (   1,    1) (   2,    3) (   2,    3) (   2,    3) (   2,    1) (   2,    2) (   2,    1) (   2,    1)
          (   2,    2) (   2,    2) (   2,    4) (   2,    3) (   2,    2) (   2,    1) (   2,    2) (   2,    2) (   2,    2) (   1,    2)
          (   2,    2) (   2,    4) (   2,    3) (   2,    4) (   2,    3) (   2,    1) (   1,    2) (   2,    1) (   2,    2) (   2,    2)
          (   1,    1) (   2,    4) (   2,    1) (   2,    2) (   2,    2) (   2,    1) (   2,    3) (   1,    1) (   2,    0) (   2,    1)
          (   2,    1) (   2,    3) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   2,    1) (   2,    1)
          (   2,    2) (   2,    1) (   2,    1) (   2,    2) (   2,    2) (   2,    1) (   2,    2) (   2,    1) (   2,    1) (   2,    2)
          (   2,    2) (   2,    4) (   2,    3) (   2,    2) (   2,    2) (   2,    2) (   2,    1) (   1,    4) (   1,    2) (   1,    0)
          (   2,    1) (   1,    1) (   2,    1) (   2,    1) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   2,    1) (   2,    1)
          (   2,    2) (   2,    3) (   2,    2) (   1,    3) (   2,    3) (   2,    3) (   2,    2) (   2,    1) (   2,    4) (   2,    2)
          (   2,    1) (   2,    1) (   1,    2) (   2,    1) (   1,    2) (   2,    1) (   2,    1) (   2,    5) (   2,    4) (   1,    3)
          (   2,    1) (   2,    1) (   2,    1) (   2,    3) (   2,    2) (   1,    1) (   2,    3) (   2,    2) (   1,    3) (   2,    1)
          (   2,    1) (   1,    3) (   2,    1) (   2,    1) (   1,    2) (   2,    1) (   2,    1) (   2,    1) (   2,    2) (   1,    1)
          (   2,    2) (   2,    3) (   2,    2) (   2,    2) (   2,    1) (   2,    1) (   2,    4) (   2,    2) (   1,    2) (   2,    1)
          (   2,    2) (   2,    2) (   2,    2) (   1,    2) (   1,    2) (   2,    2) (   2,    4) (   2,    2) (   2,    3) (   2,    1)
          (   2,    3) (   2,    2) (   1,    2) (   2,    3) (   2,    1) (   2,    2) (   2,    1) (   2,    1) (   2,    5) (   2,    2)
          (   2,    3) (   1,    1) (   2,    1) (   2,    2) (   2,    3) (   2,    3) (   2,    4) (   2,    1) (   2,    4) (   2,    2)
          (   2,    2) (   2,    1) (   2,    1) (   2,    2) (   2,    2) (   2,    2) (   1,    4) (   2,    1) (   1,    1) (   2,    0)
          (   0,    1) (   2,    0) (   2,    1) (   2,    2) (   1,    3) (   2,    4) (   1,    2) (   2,    5) (   2,    3) (   2,    1)
          (   2,    2) (   2,    2) (   2,    1) (   2,    1) (   2,    2) (   2,    1) (   2,    1) (   2,    1) (   1,    2) (   2,    2)
          (   1,    2) (   2,    1) (   2,    1) (   1,    2) (   2,    2) (   2,    2) (   2,    2) (   2,    1) (   2,    2) (   2,    1)
          (   1,    3) (   2,    2) (   1,    1) (   2,    0) (   1,    3) (   2,    4) (   2,    2) (   2,    1) (   2,    2) (   2,    1)
          (   2,    2) (   1,    2) (   2,    1) (   2,    1) (   2,    1) (   2,    1) (   2,    2) (   2,    1) (   2,    3) (   2,    2)
          (   1,    2) (   2,    2) (   2,    2) (   0,    3) (   2,    2) (   2,    1) (   2,    1) (   2,    2) (   2,    1) (   2,    1)
          (   1,    1) (   2,    1) (   2,    1) (   2,    2) (   2,    2) (   2,    1) (   2,    3) (   2,    3) (   2,    2) (   2,    1)
          (   2,    1) (   2,    2) (   2,    2) (   2,    1) (   2,    1) (   2,    1) (   2,    3) (   2,    3) (   2,    1) (   2,    2)
          (   2,    3) (   2,    4) (   2,    3) (   2,    4) (   2,    4) (   2,    4) (   2,    1) (   2,    2) (   2,    2) (   2,    2)
          (   2,    3) (   2,    1) (   2,    4) (   2,    2) (   2,    2) (   2,    3) (   2,    2) (   2,    1) (   2,    1) (   2,    2)
          (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   2,    1) (   2,    1) (   2,    1) (   2,    5) (   2,    3) (   2,    1)
          (   2,    2) (   2,    1) (   2,    2) (   2,    3) (   2,    3) (   2,    1) (   2,    2) (   2,    3) (   2,    2) (   2,    1)
          (   2,    3) (   2,    2) (   2,    2) (   2,    3) (   2,    1) (   2,    1) (   2,    2) (   2,    3) (   2,    1) (   2,    1)
          (   2,    2) (   2,    5) (   2,    4) (   2,    3) (   2,    1) (   2,    2) (   2,    3) (   2,    1) (   2,    3) (   2,    3)
          (   2,    2) (   2,    2) (   2,    3) (   2,    1) (   2,    1) (   2,    3) (   2,    1) (   2,    3) (   2,    2) (   2,    3)
          (   2,    1) (   2,    2) (   2,    2) (   2,    1) (   2,    2) (   2,    4) (   2,    3) (   2,    1) (   2,    1) (   2,    3)
          (   2,    3) (   2,    1) (   2,    2) (   2,    1) (   2,    5) (   2,    3) (   2,    2) (   2,    3) (   2,    1) (   2,    1)
          (   2,    3) (   2,    1) (   2,    2) (   2,    2) (   2,    1) (   2,    3) (   2,    1) (   2,    1) (   2,    2) (   2,    1)
          (   2,    1) (   2,    3) (   2,    3) (   2,    1) (   2,    3) (   2,    2) (   2,    1) (   2,    3) (   2,    3) (   2,    2)
          (   2,    3) (   2,    2) (   2,    1) (   2,    3) (   2,    1) (   2,    2) (   2,    2) (   2,    1) (   2,    1) (   2,    3)
          (   2,    1) (   2,    2) (   2,    1) (   2,    2) (   2,    2) (   2,    1) (   2,    1) (   2,    1) (   2,    2) (   2,    2)
          (   2,    1) (   2,    2) (   2,    2) (   2,    2) (   2,    1) (   2,    2) (   2,    1) (   2,    3) (   2,    2) (   2,    3)
          (   2,    1) (   2,    2) (   2,    2) (   2,    1) (   2,    1) (   2,    2) (   2,    2) (   2,    1) (   2,    2) (   2,    1)
          (   2,    1) (   2,    1) (   2,    1) (   2,    4) (   2,    3) (   2,    1) (   2,    2) (   2,    3) (   2,    1) (   2,    1)
          (   2,    1) (   2,    1) (   2,    1) (   2,    3) (   2,    2) (   2,    2) (   2,    4) (   2,    2) (   2,    1) (   2,    2)
          (   2,    1) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   2,    2) (   2,    1) (   2,    1) (   2,    2) (   2,    2)
         
node   1 sent_total    958  recv_total    962

node   2  (   1,    0) (   0,    0) (   0,    1) (   2,    1) (   2,    1) (   2,    1) (   2,    3) (   2,    1) (   2,    1) (   2,    1)
          (   2,    2) (   2,    1) (   2,    2) (   2,    2) (   2,    2) (   2,    1) (   2,    4) (   2,    3) (   2,    2) (   2,    3)
          (   2,    3) (   2,    4) (   2,    2) (   2,    3) (   2,    1) (   2,    3) (   2,    2) (   2,    2) (   2,    1) (   2,    1)
          (   2,    2) (   2,    2) (   2,    1) (   2,    2) (   2,    1) (   2,    1) (   2,    1) (   2,    1) (   2,    1) (   2,    1)
          (   2,    1) (   2,    3) (   2,    1) (   2,    2) (   2,    3) (   2,    2) (   2,    3) (   2,    2) (   2,    2) (   2,    3)
          (   2,    1) (   0,    1) (   2,    1) (   2,    1) (   1,    2) (   2,    1) (   2,    4) (   2,    2) (   2,    1) (   2,    5)
